| Буква | Кол-во, шт. | Частота, % |
| а     |           0 |      0.000 |
| б     |           0 |      0.000 |
| в     |           2 |      0.106 |
| г     |          99 |      5.269 |
| д     |           0 |      0.000 |
| е     |           1 |      0.053 |
| ё     |          38 |      2.022 |
| ж     |           0 |      0.000 |
| з     |           4 |      0.213 |
| и     |          52 |      2.767 |
| й     |           0 |      0.000 |
| к     |           0 |      0.000 |
| л     |          31 |      1.650 |
| м     |           0 |      0.000 |
| н     |           0 |      0.000 |
| о     |          33 |      1.756 |
| п     |           0 |      0.000 |
| р     |           1 |      0.053 |
| с     |         137 |      7.291 |
| т     |           0 |      0.000 |
| у     |           0 |      0.000 |
| ф     |           0 |      0.000 |
| х     |           0 |      0.000 |
| ц     |           0 |      0.000 |
| ч     |          13 |      0.692 |
| ш     |           0 |      0.000 |
| щ     |           0 |      0.000 |
| ъ     |          35 |      1.863 |
| ы     |           0 |      0.000 |
| ь     |           0 |      0.000 |
| э     |         115 |      6.120 |
| ю     |          42 |      2.235 |
| я     |           0 |      0.000 |
| А     |          19 |      1.011 |
| Б     |          11 |      0.585 |
| В     |           2 |      0.106 |
| Г     |          60 |      3.193 |
| Д     |           3 |      0.160 |
| Е     |           0 |      0.000 |
| Ё     |          57 |      3.034 |
| Ж     |           1 |      0.053 |
| З     |           0 |      0.000 |
| И     |          50 |      2.661 |
| Й     |           0 |      0.000 |
| К     |           1 |      0.053 |
| Л     |          86 |      4.577 |
| М     |           5 |      0.266 |
| Н     |           0 |      0.000 |
| О     |         174 |      9.260 |
| П     |           0 |      0.000 |
| Р     |           1 |      0.053 |
| С     |          37 |      1.969 |
| Т     |           0 |      0.000 |
| У     |           2 |      0.106 |
| Ф     |          45 |      2.395 |
| Х     |           0 |      0.000 |
| Ц     |           0 |      0.000 |
| Ч     |          73 |      3.885 |
| Ш     |           0 |      0.000 |
| Щ     |           0 |      0.000 |
| Ъ     |         121 |      6.440 |
| Ы     |           0 |      0.000 |
| Ь     |           0 |      0.000 |
| Э     |          33 |      1.756 |
| Ю     |           0 |      0.000 |
| Я     |           0 |      0.000 |
| 1     |           0 |      0.000 |
| 2     |         310 |     16.498 |
| 3     |           0 |      0.000 |
| 4     |          13 |      0.692 |
| 5     |           0 |      0.000 |
| 6     |           0 |      0.000 |
| 7     |           1 |      0.053 |
| 8     |           0 |      0.000 |
| 9     |           0 |      0.000 |
| 0     |          38 |      2.022 |
| ,     |           0 |      0.000 |
| .     |           0 |      0.000 |
| :     |          17 |      0.905 |
| ;     |           0 |      0.000 |
| "     |           0 |      0.000 |
| -     |           0 |      0.000 |
| ?     |           0 |      0.000 |
| !     |           0 |      0.000 |
| /     |           0 |      0.000 |
| [     |           0 |      0.000 |
| ]     |           0 |      0.000 |
| =     |          31 |      1.650 |
|       |           0 |      0.000 |
| “     |           0 |      0.000 |
| «     |          34 |      1.809 |
| »     |           0 |      0.000 |
| ”     |           0 |      0.000 |
| *     |           2 |      0.106 |
| &     |           0 |      0.000 |
| ^     |           0 |      0.000 |
| (     |          11 |      0.585 |
| )     |           0 |      0.000 |
| {     |           0 |      0.000 |
| }     |          36 |      1.916 |
