| Буква | Кол-во, шт. | Частота, % |
| а     |          99 |      5.269 |
| б     |          38 |      2.022 |
| в     |          52 |      2.767 |
| г     |          31 |      1.650 |
| д     |          33 |      1.756 |
| е     |         137 |      7.291 |
| ё     |           0 |      0.000 |
| ж     |          13 |      0.692 |
| з     |          35 |      1.863 |
| и     |         115 |      6.120 |
| й     |          19 |      1.011 |
| к     |          60 |      3.193 |
| л     |          57 |      3.034 |
| м     |          50 |      2.661 |
| н     |          86 |      4.577 |
| о     |         174 |      9.260 |
| п     |          37 |      1.969 |
| р     |          45 |      2.395 |
| с     |          73 |      3.885 |
| т     |         121 |      6.440 |
| у     |          33 |      1.756 |
| ф     |           0 |      0.000 |
| х     |          13 |      0.692 |
| ц     |           1 |      0.053 |
| ч     |          38 |      2.022 |
| ш     |          17 |      0.905 |
| щ     |           0 |      0.000 |
| ъ     |           0 |      0.000 |
| ы     |          31 |      1.650 |
| ь     |          34 |      1.809 |
| э     |           2 |      0.106 |
| ю     |          11 |      0.585 |
| я     |          36 |      1.916 |
| А     |           2 |      0.106 |
| Б     |           1 |      0.053 |
| В     |           4 |      0.213 |
| Г     |           0 |      0.000 |
| Д     |           0 |      0.000 |
| Е     |           1 |      0.053 |
| Ё     |           0 |      0.000 |
| Ж     |           0 |      0.000 |
| З     |           0 |      0.000 |
| И     |           0 |      0.000 |
| Й     |           0 |      0.000 |
| К     |           2 |      0.106 |
| Л     |           0 |      0.000 |
| М     |           0 |      0.000 |
| Н     |           1 |      0.053 |
| О     |           0 |      0.000 |
| П     |           1 |      0.053 |
| Р     |           2 |      0.106 |
| С     |           0 |      0.000 |
| Т     |           0 |      0.000 |
| У     |           0 |      0.000 |
| Ф     |           0 |      0.000 |
| Х     |           0 |      0.000 |
| Ц     |           0 |      0.000 |
| Ч     |           0 |      0.000 |
| Ш     |           0 |      0.000 |
| Щ     |           0 |      0.000 |
| Ъ     |           0 |      0.000 |
| Ы     |           0 |      0.000 |
| Ь     |           0 |      0.000 |
| Э     |           0 |      0.000 |
| Ю     |           0 |      0.000 |
| Я     |           0 |      0.000 |
| 1     |           0 |      0.000 |
| 2     |           0 |      0.000 |
| 3     |           0 |      0.000 |
| 4     |           0 |      0.000 |
| 5     |           0 |      0.000 |
| 6     |           0 |      0.000 |
| 7     |           0 |      0.000 |
| 8     |           0 |      0.000 |
| 9     |           0 |      0.000 |
| 0     |           0 |      0.000 |
| ,     |          42 |      2.235 |
| .     |          11 |      0.585 |
| :     |           3 |      0.160 |
| ;     |           1 |      0.053 |
| "     |           0 |      0.000 |
| -     |           5 |      0.266 |
| ?     |           0 |      0.000 |
| !     |           0 |      0.000 |
| /     |           0 |      0.000 |
| [     |           0 |      0.000 |
| ]     |           0 |      0.000 |
| =     |           0 |      0.000 |
|       |         310 |     16.498 |
| “     |           0 |      0.000 |
| «     |           0 |      0.000 |
| »     |           0 |      0.000 |
| ”     |           0 |      0.000 |
| *     |           0 |      0.000 |
| &     |           0 |      0.000 |
| ^     |           0 |      0.000 |
| (     |           0 |      0.000 |
| )     |           0 |      0.000 |
| {     |           0 |      0.000 |
| }     |           0 |      0.000 |
